r,q,sigma,S,err_price
0.04359949021420038,0.0025926231827891333,0.27483123893935457,93.5322392618277,[0.00061822]
0.0420367802087489,0.03303348210038742,0.10232431701892125,111.92709663506636,[0.00415621]
0.029965467367452314,0.026682727510286663,0.31056691638464745,102.91420942770391,[0.01288748]
0.013457994534493357,0.05135781212657464,0.09221993282345764,128.53351478166735,[0.00111146]
0.08539752926394889,0.04942368373819278,0.423280742678734,57.964547700906095,[-0.00049233]
0.0505246090121704,0.006528650438687811,0.21406116379869472,59.653091566061256,[0.01308584]
0.012715997170127747,0.05967453089785958,0.11300600030211794,60.694568430998295,[0.00358513]
0.02203062070705597,0.034982628500329925,0.23389374229115012,70.17432262649653,[0.05693486]
0.06404067252149148,0.04830698355517517,0.25261836000927457,88.68926511185593,[0.0833261]
0.07936374544415771,0.05800041788778067,0.08114929925115694,120.07523466071562,[0.00658343]
0.09645510800892552,0.05000083611702168,0.44476003197307246,84.16136526711097,[-0.02570117]
0.05671441276277093,0.04275459632961101,0.2183736315133995,127.65591849971003,[0.00987253]
0.05356041734976563,0.09537422269448667,0.27210408007405107,58.20949222750248,[-0.00624359]
0.036634240167502045,0.08508505040045017,0.2031375215239754,52.72023658948496,[0.16708896]
0.024717723899735335,0.0067144370736954674,0.49692600571063644,147.05803133771735,[0.00596682]
0.08002583511325868,0.06018171214054674,0.38247993022584076,66.92254465841779,[0.0187664]
0.02930232318194398,0.052406687530036425,0.17831214056137945,54.567896524540004,[0.13682595]
0.09831534453572127,0.044135491935484675,0.2520002196895763,82.35413175346989,[0.07883954]
0.025974475274713707,0.038688988532076245,0.41600844981725044,123.6747056287113,[0.01528268]
0.03792105669416375,0.001301733669455063,0.3987024695162968,76.93887975963011,[0.08696103]
0.058268488852903456,0.0025550941849692755,0.3311010096341629,88.75234258732814,[0.04935527]
0.049707379873451266,0.04149058373746872,0.17543595065082024,105.09779053244193,[0.01359487]
0.09729106898748249,0.011277621523807147,0.1566292642148568,54.17977098153101,[-0.3407631]
0.07383997586209004,0.0657512387659044,0.10731787319997682,91.67534401953371,[-0.01785213]
0.0643841934148195,0.06614813267154414,0.08523856674188535,138.16522357485485,[-0.0056157]
0.07780081598084683,0.013395420817169101,0.4344583132160394,124.87778782768545,[0.01303911]
0.0798585654099081,0.054334523058390274,0.11041895753073094,141.84586465896007,[-0.00443956]
0.059208457766637634,0.03462379094551465,0.13188926464000988,141.3915477165132,[-0.00133257]
0.04197354613068208,0.05401915156671309,0.3042210789025248,132.6249828434158,[0.00954583]
0.06235631845621308,0.017671216158442606,0.2956286763267729,98.92661669948592,[0.04309142]
0.05479077800903767,0.06995206197905482,0.12290558195206536,68.66271455864802,[-0.07984412]
0.011058314779616107,0.02740592525360537,0.005125019699795452,112.93597228295822,[0.00493605]
0.029517230521974247,0.018728654470189777,0.04764402613040186,78.37558074652546,[-0.13623273]
0.021492438413069526,0.028560373391090233,0.2357049287348395,104.9496821088408,[0.00615562]
0.08451131155747016,0.09885097007841644,0.024434043114675674,73.2118251436164,[0.06395364]
0.06433114272482353,0.01614665628916767,0.43507294668450075,71.74024263050259,[0.13009834]
0.0741755038883449,0.06530205132311011,0.3994427557523148,53.12475622652616,[0.06370234]
0.02295740287443452,0.07046274991204592,0.04378125450056142,53.058948319431934,[-0.0491547]
0.03571349336995607,0.058978199147176384,0.026111363692080114,56.56636662063775,[0.28293934]
