r,q,sigma,avg_error_curve,max_error_curve
0.04359949021420038,0.0025926231827891333,0.27483123893935457,-9.566431800370162e-05,-0.005883582259912429
0.04353223926182769,0.0420367802087489,0.16516741050193706,-0.0012904978560698758,-0.006638910140158386
0.020464863403784252,0.061927096635066375,0.14982733683726157,-0.01774487118274489,-0.020963374666093625
0.026682727510286663,0.062113383276929494,0.26457104713851953,-0.015961478222960106,-0.018273634323313564
0.013457994534493357,0.05135781212657464,0.09221993282345764,0.004954246162334183,0.009848667583243391
0.07853351478166735,0.08539752926394889,0.2471184186909639,-0.0033077658423369327,-0.00917813546103505
0.08465614853574681,0.0079645477009061,0.252623045060852,0.0015433054159918382,0.0076019298258170115
0.006528650438687811,0.042812232759738944,0.04826545783030628,-0.00904991033585575,-0.015975673031603205
0.012715997170127747,0.05967453089785958,0.11300600030211794,-0.012653407813022531,-0.018283973223679115
0.010694568430998298,0.02203062070705597,0.17491314250164963,0.02753048476355326,0.03208570851376853
0.046778748458230025,0.020174322626496533,0.3202033626074574,-0.00045467252691066927,-0.0036505865257516036
0.04830698355517517,0.05052367200185492,0.19344632555927965,-0.002829436164012066,-0.011297374627509321
0.07936374544415771,0.05800041788778067,0.08114929925115694,-0.0005216127595631775,-0.0069125021633509596
0.07007523466071562,0.09645510800892552,0.25000418058510837,-0.01193557685932098,-0.016299442661080958
0.0889520063946145,0.034161365267110964,0.28357206381385464,0.0005107814682924135,-0.00622900027406039
0.04275459632961101,0.043674726302679906,0.38827959249855015,-0.007390513382584722,-0.016609167352528157
0.05356041734976563,0.09537422269448667,0.27210408007405107,-0.016513352553576333,-0.0210771615610531
0.00820949222750248,0.036634240167502045,0.42542525200225084,0.006722029070384189,0.011588767349876811
0.04062750430479509,0.002720236589484959,0.12358861949867667,0.001414151125703127,0.006638444531560516
0.0067144370736954674,0.09938520114212729,0.48529015668858677,0.10504208058432542,0.1148296648976988
0.08002583511325868,0.06018171214054674,0.38247993022584076,-0.0024522771526445655,-0.00528063140383967
0.016922544658417794,0.02930232318194398,0.2620334376501821,-0.0029327673323246537,-0.008830124196364924
0.03566242811227589,0.004567896524540005,0.49157672267860636,-0.002338128083881603,-0.004689988946512026
0.044135491935484675,0.050400043937915265,0.16177065876734942,-0.004945027827069114,-0.010952263136300778
0.025974475274713707,0.038688988532076245,0.41600844981725044,0.00012101130776401845,-0.009678901754960638
0.0736747056287113,0.03792105669416375,0.006508668347275315,0.0015173737943843957,0.005389471095574747
0.07974049390325937,0.02693887975963012,0.2913424442645173,0.0011301395452088625,0.006069509263211324
0.0025550941849692755,0.06622020192683258,0.19376171293664074,0.014865118686702532,0.023809370612655346
0.049707379873451266,0.04149058373746872,0.17543595065082024,-0.0019380892196729923,-0.0033302709546021107
0.05509779053244193,0.09729106898748249,0.05638810761903573,-0.011635674346447949,-0.013673949893313466
0.03132585284297136,0.004179770981531006,0.3691998793104502,-0.00017494906286704656,0.002056297438133262
0.0657512387659044,0.021463574639995365,0.20837672009766856,0.000425339700528829,-0.005013070942079214
0.0643841934148195,0.06614813267154414,0.08523856674188535,-0.0023223486136902923,-0.00693006566284445
0.08816522357485486,0.07780081598084683,0.0669771040858455,-0.0008382962155353885,-0.006199086578738602
0.08689166264320788,0.07487778782768545,0.39929282704954044,-0.0016398114090228693,-0.004211680118662484
0.054334523058390274,0.02208379150614619,0.45922932329480026,-0.0014442842019180115,-0.004810539257215124
0.059208457766637634,0.03462379094551465,0.13188926464000988,0.0007594403390106622,0.003878573513495017
0.0913915477165132,0.04197354613068208,0.27009575783356543,-4.438890579074933e-05,-0.006508185491462036
0.060844215780504966,0.0826249828434158,0.3117815922810654,-0.009387892724793855,-0.016026995655287486
0.017671216158442606,0.059125735265354584,0.24463308349742957,-0.015884388731295163,-0.020101869866489423
0.05479077800903767,0.06995206197905482,0.12290558195206536,-0.00743266067887728,-0.009510314555192061
0.01866271455864802,0.011058314779616107,0.13702962626802684,0.002410920985718207,0.009153637724827347
0.0010250039399590904,0.06293597228295822,0.14758615260987124,0.22187913357829936,0.30020610691023397
0.018728654470189777,0.009528805226080373,0.14187790373262732,0.001508578172256716,0.006714846887818263
0.021492438413069526,0.028560373391090233,0.2357049287348395,-0.00011284385503708998,0.016648568105439725
0.054949682108840804,0.08451131155747016,0.49425485039208217,-0.01130658966333287,-0.018791900006295652
0.004886808622935135,0.023211825143616395,0.3216557136241176,0.0021770404260512714,0.014637829698025547
0.01614665628916767,0.08701458933690015,0.10870121315251297,-0.016928765045311146,-0.022754122170599345
0.0741755038883449,0.06530205132311011,0.3994427557523148,-0.0015044333985878803,-0.0036115772308097953
0.00312475622652616,0.02295740287443452,0.3523137495602296,0.09078152343350543,0.09813447560150997
0.008756250900112283,0.003058948319431931,0.17856746684978037,0.000886586981289928,0.0025631634792546245
0.058978199147176384,0.005222272738416023,0.03283183310318877,0.0010367505668262148,0.004366157129025061
0.004350118605971565,0.03951507584675038,0.33421352300802887,-0.0026321484365489276,-0.019117022354687416
0.01980271118161696,0.0876266451704159,0.2161945477224237,-0.026328898659997567,-0.03272952275506562
0.06196414637099647,0.02904267429349884,0.3076272867321381,-0.00015005891047743767,-0.0030512386096077913
0.09536599623823228,0.04480147165240897,0.10352491912665712,0.0015425426346689765,0.006695691805963628
0.04253672919053865,0.04445742647637577,0.2538087433359807,-0.0050673257054860595,-0.019548888021957877
0.05257332498109579,0.004242919188254613,0.08220954308506001,0.0007049244318356517,-0.006127732940066167
0.045022717961737325,0.07079711706189208,0.3887939541527668,0.0017074852910651333,0.00855148975997948
0.07771029994696448,0.050277875250922144,0.4783737966536238,-0.0024676586531837534,-0.004624898682511778
0.03318737125398759,0.048145816234603324,0.37418699967051816,0.003412421442954541,0.01116405710238731
0.08578395184395139,0.041446005513291154,0.4243422571336617,-0.0014780561442390267,-0.0041051456397906425
0.044457094175070926,0.07157470842863543,0.004224181789409864,-0.0164588832957242,-0.019194289059710566
0.002520142367074896,0.09404504935420886,0.051068974115596744,-0.070720286863894,-0.16774342001563003
0.06619677904397077,0.028325874382112082,0.1004211718877227,0.001523138551477319,0.005398169878185098
0.038833418211475915,0.09259015965084993,0.28513710487535954,-0.017298046990857588,-0.021004807481245086
0.09167146119578826,0.0702264240819725,0.2506082258435435,-0.0010570825282956702,-0.003532641176389163
0.05060868335126389,0.021882078632937275,0.0023317613675249427,0.0012574207302100764,0.004359279317464064
0.041783624400271585,0.056337611033903515,0.43828093421166353,-0.005983513674263099,-0.016340588656103584
0.06775848402279094,0.08423330461034713,0.46308064346246,-0.004621104272921885,-0.016784248156778807
0.09411158736336223,0.08160191519243941,0.06569730273972191,-0.00017463824504785144,-0.005181437603517576
0.0346630014990264,0.02085024945255225,0.4336907685782617,-0.001456859513583251,-0.007107093217804795
0.0792330219306258,0.03490016406838594,0.2845702660278177,0.000592957128299745,0.005097239866999887
